AssemblyName,Organism
AGI-APGP_CSIRO_Sfru_2.0,Spodoptera frugiperda
Teleopsis dalmanni v 3.0,Teleopsis dalmanni
ASM401169v2,Ascochyta rabiei
serCan2020,Serinus canaria
ASM2471293v1,Leptinotarsa decemlineata
Zm-RP125-REFERENCE-SDAU-1.0,Zea mays
RU_Dneb_q3p,Drosophila nebulosa
ASM2471397v1,Paralichthys olivaceus
ASM2471287v1,Inonotus hispidus
ASM2471394v1,Dermatophagoides farinae
EnE101_chr_assembly_v3,Erysiphe necator
APGP_CSIRO_Bneo_wtdbg2-racon-allhic-juicebox.fasta_v2,Bactrocera neohumeralis
ASM2471841v1,Sus scrofa
NJAU_Cchar-v1,Cheumatopsyche charites
ASM2472124v1,Mitragyna speciosa
ASM2473226v1,Saccharomyces cerevisiae
ASM2473062v1,Haloferax larsenii
ASM2472253v1,Bipolaris sorokiniana
ASM2472233v1,Rhizoctonia solani
ASM307254v3,Theileria orientalis
ASM307253v3,Theileria orientalis
ASM2470748v1,Thermococcus sp. 813A4
ASM2470479v1,Gossypium stephensii
ASM2470478v1,Gossypium hirsutum
ASM2470474v1,Rosa lucieae
ASM965048v2,Drosophila albomicans
ASM2467909v1,Eriocheir sinensis
DTR_v1.0,Dascyllus trimaculatus
NCU_BettaSRF_v1.0,Betta splendens
ASM2467924v1,Pseudorasbora parva
ASM2465298v1,Gallus gallus
ASM2465303v1,Gallus gallus
ASM2465299v1,Gallus gallus
ASM2363434v2,Scleropages formosus
ASM2465302v1,Gallus gallus
ASM2466221v1,Methanoplanus endosymbiosus
ASM2018417v2,Aphis gossypii
icAntGran1.3,Anthonomus grandis grandis
Han1,Homo sapiens
ASM2397247v1,Silurus meridionalis
ASM2460075v1,Gossypium hirsutum
ASM2454274v1,Macaca thibetana thibetana
ASM2454294v1,allo-octoploid hybrid of Carassius auratus x Cyprinus carpio
ASM2458632v1,Stellera chamaejasme
ASM2458453v1,Colletotrichum gigasporum
TS_CPP_V2,Culex pipiens pallens
TS_CPM_V1,Culex pipiens molestus
ASM2451603v1,Bactericera cockerelli
